"ISCED11";"UNIT";"AGE";"SEX";"GEO";"FREQ";"obsTime";"obsValue";"OBS_FLAG";"OBS_STATUS"
"ED5-8";"PC";"Y30-34";"T";"ITC4";"A";"2013";25,7;NA;NA
"ED5-8";"PC";"Y30-34";"T";"ITC4";"A";"2012";23,4;NA;NA
"ED5-8";"PC";"Y30-34";"T";"ITC4";"A";"2011";22,3;NA;NA
"ED5-8";"PC";"Y30-34";"T";"ITC4";"A";"2010";22,8;NA;NA
"ED5-8";"PC";"Y30-34";"T";"ITC4";"A";"2009";21,6;NA;NA
"ED5-8";"PC";"Y30-34";"T";"ITC4";"A";"2008";20,9;NA;NA
"ED5-8";"PC";"Y30-34";"T";"ITC4";"A";"2007";19,9;NA;NA
"ED5-8";"PC";"Y30-34";"T";"ITC4";"A";"2006";19,5;NA;NA
"ED5-8";"PC";"Y30-34";"T";"ITC4";"A";"2005";18,7;NA;NA
"ED5-8";"PC";"Y30-34";"T";"ITC4";"A";"2004";16,9;"b";NA
"ED5-8";"PC";"Y30-34";"T";"ITC4";"A";"2003";15;NA;NA
"ED5-8";"PC";"Y30-34";"T";"ITC4";"A";"2002";14,5;NA;NA
"ED5-8";"PC";"Y30-34";"T";"ITC4";"A";"2001";13,3;NA;NA
"ED5-8";"PC";"Y30-34";"T";"ITC4";"A";"2000";11,5;NA;NA
"ED5-8";"PC";"Y30-34";"T";"ITH";"A";"2015";27,5;NA;NA
"ED5-8";"PC";"Y30-34";"T";"ITH";"A";"2014";24,6;"b";NA
"ED5-8";"PC";"Y30-34";"T";"ITH";"A";"2013";23,8;NA;NA
"ED5-8";"PC";"Y30-34";"T";"ITH";"A";"2012";24,8;NA;NA
"ED5-8";"PC";"Y30-34";"T";"ITH";"A";"2011";22,5;NA;NA
"ED5-8";"PC";"Y30-34";"T";"ITH";"A";"2010";19,9;NA;NA
"ED5-8";"PC";"Y30-34";"T";"ITH";"A";"2009";19,5;NA;NA
"ED5-8";"PC";"Y30-34";"T";"ITH";"A";"2008";19,3;NA;NA
"ED5-8";"PC";"Y30-34";"T";"ITH";"A";"2007";19,2;NA;NA
"ED5-8";"PC";"Y30-34";"T";"ITH";"A";"2006";18,6;NA;NA
"ED5-8";"PC";"Y30-34";"T";"ITH";"A";"2005";17,8;NA;NA
"ED5-8";"PC";"Y30-34";"T";"ITH";"A";"2004";16;NA;NA
"ED5-8";"PC";"Y30-34";"T";"ITH";"A";"2003";14,7;NA;NA
"ED5-8";"PC";"Y30-34";"T";"ITH";"A";"2002";13,3;NA;NA
"ED5-8";"PC";"Y30-34";"T";"ITH";"A";"2001";12,5;NA;NA
"ED5-8";"PC";"Y30-34";"T";"ITH";"A";"2000";12,7;"b";NA
"ED5-8";"PC";"Y30-34";"T";"ITH1";"A";"2015";25,3;NA;NA
"ED5-8";"PC";"Y30-34";"T";"ITH1";"A";"2014";22,7;"b";NA
"ED5-8";"PC";"Y30-34";"T";"ITH1";"A";"2013";24,2;NA;NA
"ED5-8";"PC";"Y30-34";"T";"ITH1";"A";"2012";22,4;NA;NA
"ED5-8";"PC";"Y30-34";"T";"ITH1";"A";"2011";23,7;NA;NA
"ED5-8";"PC";"Y30-34";"T";"ITH1";"A";"2010";21,4;NA;NA
"ED5-8";"PC";"Y30-34";"T";"ITH1";"A";"2009";14,3;NA;NA
