"UNIT";"AGE";"SEX";"GEO";"FREQ";"obsTime";"obsValue";"OBS_FLAG";"OBS_STATUS"
"PC";"Y15-64";"T";"ITH2";"A";"2008";66,7;NA;NA
"PC";"Y15-64";"T";"ITH2";"A";"2007";66,3;NA;NA
"PC";"Y15-64";"T";"ITH2";"A";"2006";65,4;NA;NA
"PC";"Y15-64";"T";"ITH2";"A";"2005";65,1;"b";NA
"PC";"Y15-64";"T";"ITH2";"A";"2004";65,3;"b";NA
"PC";"Y15-64";"T";"ITH2";"A";"2003";63,8;NA;NA
"PC";"Y15-64";"T";"ITH2";"A";"2002";61,9;NA;NA
"PC";"Y15-64";"T";"ITH2";"A";"2001";62;NA;NA
"PC";"Y15-64";"T";"ITH2";"A";"2000";62,7;NA;NA
"PC";"Y15-64";"T";"ITH2";"A";"1999";60,1;NA;NA
"PC";"Y15-64";"T";"ITH3";"A";"2015";63,6;NA;NA
"PC";"Y15-64";"T";"ITH3";"A";"2014";63,7;NA;NA
"PC";"Y15-64";"T";"ITH3";"A";"2013";63,1;NA;NA
"PC";"Y15-64";"T";"ITH3";"A";"2012";64,9;NA;NA
"PC";"Y15-64";"T";"ITH3";"A";"2011";64,9;NA;NA
"PC";"Y15-64";"T";"ITH3";"A";"2010";64,4;NA;NA
"PC";"Y15-64";"T";"ITH3";"A";"2009";64,6;NA;NA
"PC";"Y15-64";"T";"ITH3";"A";"2008";66,4;NA;NA
"PC";"Y15-64";"T";"ITH3";"A";"2007";65,7;NA;NA
"PC";"Y15-64";"T";"ITH3";"A";"2006";65,3;NA;NA
"PC";"Y15-64";"T";"ITH3";"A";"2005";64,7;"b";NA
"PC";"Y15-64";"T";"ITH3";"A";"2004";64,2;"b";NA
"PC";"Y15-64";"T";"ITH3";"A";"2003";63,5;NA;NA
"PC";"Y15-64";"T";"ITH3";"A";"2002";62,8;NA;NA
"PC";"Y15-64";"T";"ITH3";"A";"2001";62,3;NA;NA
"PC";"Y15-64";"T";"ITH3";"A";"2000";61,4;NA;NA
"PC";"Y15-64";"T";"ITH3";"A";"1999";60,2;NA;NA
