"AGE";"GEO";"FREQ";"obsTime";"obsValue";"OBS_STATUS"
"TOTAL";"ITH";"A";"1990";NA;"na"
"TOTAL";"ITH1";"A";"2014";1,74;NA
"TOTAL";"ITH1";"A";"2013";1,65;NA
"TOTAL";"ITH1";"A";"2012";1,67;NA
"TOTAL";"ITH1";"A";"2011";1,62;NA
"TOTAL";"ITH1";"A";"2010";1,63;NA
"TOTAL";"ITH1";"A";"2009";1,57;NA
"TOTAL";"ITH1";"A";"2008";1,62;NA
"TOTAL";"ITH1";"A";"2007";1,62;NA
"TOTAL";"ITH1";"A";"2006";1,58;NA
"TOTAL";"ITH1";"A";"2005";1,6;NA
"TOTAL";"ITH1";"A";"2004";1,56;NA
"TOTAL";"ITH1";"A";"2003";1,52;NA
"TOTAL";"ITH1";"A";"2002";1,45;NA
"TOTAL";"ITH1";"A";"2001";1,51;NA
"TOTAL";"ITH1";"A";"2000";1,48;NA
"TOTAL";"ITH1";"A";"1999";1,51;NA
"TOTAL";"ITH1";"A";"1998";1,47;NA
"TOTAL";"ITH1";"A";"1997";1,48;NA
"TOTAL";"ITH1";"A";"1996";1,47;NA
"TOTAL";"ITH1";"A";"1995";1,4;NA
"TOTAL";"ITH1";"A";"1994";1,43;NA
"TOTAL";"ITH1";"A";"1993";1,45;NA
"TOTAL";"ITH1";"A";"1992";1,5;NA
"TOTAL";"ITH1";"A";"1991";1,53;NA
"TOTAL";"ITH1";"A";"1990";1,5;NA
"TOTAL";"ITH2";"A";"2014";1,54;NA
"TOTAL";"ITH2";"A";"2013";1,6;NA
"TOTAL";"ITH2";"A";"2012";1,6;NA
"TOTAL";"ITH2";"A";"2011";1,62;NA
"TOTAL";"ITH2";"A";"2010";1,66;NA
"TOTAL";"ITH2";"A";"2009";1,61;NA
"TOTAL";"ITH2";"A";"2008";1,61;NA
"TOTAL";"ITH2";"A";"2007";1,53;NA
"TOTAL";"ITH2";"A";"2006";1,52;NA
"TOTAL";"ITH2";"A";"2005";1,5;NA
"TOTAL";"ITH2";"A";"2004";1,55;NA
