"UNIT";"INDIC_TO";"NACE_R2";"GEO";"FREQ";"obsTime";"obsValue";"OBS_STATUS";"OBS_FLAG"
"NR";"B003";"I551-I553";"EU27";"A";"1991";NA;"na";NA
"NR";"B003";"I551-I553";"EU27";"A";"1990";NA;"na";NA
"NR";"B003";"I551-I553";"EU28";"A";"2015";NA;"na";NA
"NR";"B003";"I551-I553";"EU28";"A";"2014";906410638;NA;"e"
"NR";"B003";"I551-I553";"EU28";"A";"2013";876842950;NA;"e"
"NR";"B003";"I551-I553";"EU28";"A";"2012";855830681;NA;NA
"NR";"B003";"I551-I553";"EU28";"A";"2011";813809966;NA;"e"
"NR";"B003";"I551-I553";"EU28";"A";"2010";765636895;NA;"e"
"NR";"B003";"I551-I553";"EU28";"A";"2009";751295427;NA;"e"
"NR";"B003";"I551-I553";"EU28";"A";"2008";NA;"na";NA
"NR";"B003";"I551-I553";"EU28";"A";"2007";NA;"na";NA
"NR";"B003";"I551-I553";"EU28";"A";"2006";NA;"na";NA
"NR";"B003";"I551-I553";"EU28";"A";"2005";NA;"na";NA
"NR";"B003";"I551-I553";"EU28";"A";"2004";NA;"na";NA
"NR";"B003";"I551-I553";"EU28";"A";"2003";NA;"na";NA
"NR";"B003";"I551-I553";"EU28";"A";"2002";NA;"na";NA
"NR";"B003";"I551-I553";"EU28";"A";"2001";NA;"na";NA
"NR";"B003";"I551-I553";"EU28";"A";"2000";NA;"na";NA
"NR";"B003";"I551-I553";"EU28";"A";"1999";NA;"na";NA
"NR";"B003";"I551-I553";"EU28";"A";"1998";NA;"na";NA
"NR";"B003";"I551-I553";"EU28";"A";"1997";NA;"na";NA
"NR";"B003";"I551-I553";"EU28";"A";"1996";NA;"na";NA
"NR";"B003";"I551-I553";"EU28";"A";"1995";NA;"na";NA
"NR";"B003";"I551-I553";"EU28";"A";"1994";NA;"na";NA
"NR";"B003";"I551-I553";"EU28";"A";"1993";NA;"na";NA
"NR";"B003";"I551-I553";"EU28";"A";"1992";NA;"na";NA
"NR";"B003";"I551-I553";"EU28";"A";"1991";NA;"na";NA
"NR";"B003";"I551-I553";"EU28";"A";"1990";NA;"na";NA
"NR";"B003";"I551-I553";"IT";"A";"2015";NA;"na";NA
"NR";"B003";"I551-I553";"IT";"A";"2014";106552352;NA;NA
"NR";"B003";"I551-I553";"IT";"A";"2013";103862530;NA;NA
"NR";"B003";"I551-I553";"IT";"A";"2012";103733157;NA;NA
"NR";"B003";"I551-I553";"IT";"A";"2011";103723869;NA;NA
"NR";"B003";"I551-I553";"IT";"A";"2010";98813845;NA;NA
"NR";"B003";"I551-I553";"IT";"A";"2009";95499801;NA;NA
"NR";"B003";"I551-I553";"IT";"A";"2008";95546086;NA;NA
"NR";"B003";"I551-I553";"IT";"A";"2007";96150083;NA;NA
"NR";"B003";"I551-I553";"IT";"A";"2006";93044399;NA;NA
"NR";"B003";"I551-I553";"IT";"A";"2005";88268463;NA;NA
"NR";"B003";"I551-I553";"IT";"A";"2004";85956568;NA;NA
"NR";"B003";"I551-I553";"IT";"A";"2003";82724652;NA;NA
"NR";"B003";"I551-I553";"IT";"A";"2002";82030312;NA;NA
"NR";"B003";"I551-I553";"IT";"A";"2001";81773368;NA;NA
"NR";"B003";"I551-I553";"IT";"A";"2000";80031637;NA;NA
"NR";"B003";"I551-I553";"IT";"A";"1999";74320938;NA;NA
"NR";"B003";"I551-I553";"IT";"A";"1998";72313561;NA;NA
"NR";"B003";"I551-I553";"IT";"A";"1997";70635012;NA;NA
"NR";"B003";"I551-I553";"IT";"A";"1996";69410988;NA;NA
"NR";"B003";"I551-I553";"IT";"A";"1995";67168685;NA;NA
"NR";"B003";"I551-I553";"IT";"A";"1994";64474071;NA;NA
"NR";"B003";"I551-I553";"IT";"A";"1993";59534912;NA;NA
"NR";"B003";"I551-I553";"IT";"A";"1992";59896946;NA;NA
