"UNIT";"AGE";"SEX";"GEO";"FREQ";"obsTime";"obsValue";"OBS_STATUS";"OBS_FLAG"
"PC";"Y18-24";"T";"ITH";"A";"2011";14,8;NA;NA
"PC";"Y18-24";"T";"ITH";"A";"2010";15,1;NA;NA
"PC";"Y18-24";"T";"ITH";"A";"2009";15,7;NA;NA
"PC";"Y18-24";"T";"ITH";"A";"2008";15,8;NA;NA
"PC";"Y18-24";"T";"ITH";"A";"2007";14,8;NA;NA
"PC";"Y18-24";"T";"ITH";"A";"2006";16,5;NA;"b"
"PC";"Y18-24";"T";"ITH";"A";"2005";18,5;NA;NA
"PC";"Y18-24";"T";"ITH";"A";"2004";18,7;NA;NA
"PC";"Y18-24";"T";"ITH";"A";"2003";19,7;NA;NA
"PC";"Y18-24";"T";"ITH";"A";"2002";20,2;NA;NA
"PC";"Y18-24";"T";"ITH";"A";"2001";22;NA;NA
"PC";"Y18-24";"T";"ITH";"A";"2000";20,9;NA;NA
"PC";"Y18-24";"T";"ITH1";"A";"2015";13,1;NA;NA
"PC";"Y18-24";"T";"ITH1";"A";"2014";13,1;NA;"b"
"PC";"Y18-24";"T";"ITH1";"A";"2013";16,4;NA;NA
"PC";"Y18-24";"T";"ITH1";"A";"2012";19,6;NA;NA
"PC";"Y18-24";"T";"ITH1";"A";"2011";18,1;NA;NA
"PC";"Y18-24";"T";"ITH1";"A";"2010";22,6;NA;NA
"PC";"Y18-24";"T";"ITH1";"A";"2009";21;NA;NA
"PC";"Y18-24";"T";"ITH1";"A";"2008";21,5;NA;NA
"PC";"Y18-24";"T";"ITH1";"A";"2007";23,2;NA;NA
"PC";"Y18-24";"T";"ITH1";"A";"2006";23,5;NA;"b"
"PC";"Y18-24";"T";"ITH1";"A";"2005";26,3;NA;NA
"PC";"Y18-24";"T";"ITH1";"A";"2004";30,5;NA;"b"
"PC";"Y18-24";"T";"ITH1";"A";"2003";32,5;NA;NA
"PC";"Y18-24";"T";"ITH1";"A";"2002";30,1;NA;NA
"PC";"Y18-24";"T";"ITH1";"A";"2001";29;NA;NA
"PC";"Y18-24";"T";"ITH1";"A";"2000";18,7;NA;NA
"PC";"Y18-24";"T";"ITH2";"A";"2015";8,7;NA;NA
"PC";"Y18-24";"T";"ITH2";"A";"2014";8,5;NA;"b"
"PC";"Y18-24";"T";"ITH2";"A";"2013";10,8;NA;NA
"PC";"Y18-24";"T";"ITH2";"A";"2012";11,7;NA;NA
"PC";"Y18-24";"T";"ITH2";"A";"2011";9,4;NA;NA
"PC";"Y18-24";"T";"ITH2";"A";"2010";11,8;NA;NA
"PC";"Y18-24";"T";"ITH2";"A";"2009";12,3;NA;NA
"PC";"Y18-24";"T";"ITH2";"A";"2008";12,5;NA;NA
"PC";"Y18-24";"T";"ITH2";"A";"2007";10,5;NA;NA
"PC";"Y18-24";"T";"ITH2";"A";"2006";10,5;NA;"b"
"PC";"Y18-24";"T";"ITH2";"A";"2005";12,2;NA;NA
"PC";"Y18-24";"T";"ITH2";"A";"2004";12,3;NA;"b"
"PC";"Y18-24";"T";"ITH2";"A";"2003";12,1;NA;NA
"PC";"Y18-24";"T";"ITH2";"A";"2002";11,2;NA;NA
"PC";"Y18-24";"T";"ITH2";"A";"2001";14,5;NA;NA
"PC";"Y18-24";"T";"ITH2";"A";"2000";13,8;NA;NA
"PC";"Y18-24";"T";"ITH3";"A";"2015";8,1;NA;NA
"PC";"Y18-24";"T";"ITH3";"A";"2014";8,4;NA;"b"
"PC";"Y18-24";"T";"ITH3";"A";"2013";10;NA;NA
"PC";"Y18-24";"T";"ITH3";"A";"2012";13,8;NA;NA
"PC";"Y18-24";"T";"ITH3";"A";"2011";16,5;NA;NA
"PC";"Y18-24";"T";"ITH3";"A";"2010";15,5;NA;NA
"PC";"Y18-24";"T";"ITH3";"A";"2009";16,5;NA;NA
"PC";"Y18-24";"T";"ITH3";"A";"2008";15,5;NA;NA
"PC";"Y18-24";"T";"ITH3";"A";"2007";13,1;NA;NA
"PC";"Y18-24";"T";"ITH3";"A";"2006";14,7;NA;"b"
"PC";"Y18-24";"T";"ITH3";"A";"2005";18,1;NA;NA
"PC";"Y18-24";"T";"ITH3";"A";"2004";18,4;NA;"b"
"PC";"Y18-24";"T";"ITH3";"A";"2003";18,1;NA;NA
"PC";"Y18-24";"T";"ITH3";"A";"2002";20,5;NA;NA
"PC";"Y18-24";"T";"ITH3";"A";"2001";22,4;NA;NA
"PC";"Y18-24";"T";"ITH3";"A";"2000";22,9;NA;NA
