"INDIC_SB";"NACE_R2";"GEO";"FREQ";"obsTime";"obsValue";"OBS_FLAG";"OBS_STATUS"
"V11210";"F";"ITH1";"A";"2013";5570;NA;NA
"V11210";"F";"ITH1";"A";"2012";5593;NA;NA
"V11210";"F";"ITH1";"A";"2011";7086;NA;NA
"V11210";"F";"ITH1";"A";"2010";NA;NA;"na"
"V11210";"F";"ITH1";"A";"2009";NA;NA;"na"
"V11210";"F";"ITH1";"A";"2008";NA;NA;"na"
"V11210";"F";"ITH2";"A";"2013";6309;NA;NA
"V11210";"F";"ITH2";"A";"2012";6534;NA;NA
"V11210";"F";"ITH2";"A";"2011";7044;NA;NA
"V11210";"F";"ITH2";"A";"2010";NA;NA;"na"
"V11210";"F";"ITH2";"A";"2009";NA;NA;"na"
"V11210";"F";"ITH2";"A";"2008";NA;NA;"na"
"V11210";"F";"ITH3";"A";"2013";53053;NA;NA
"V11210";"F";"ITH3";"A";"2012";55857;NA;NA
"V11210";"F";"ITH3";"A";"2011";60549;NA;NA
"V11210";"F";"ITH3";"A";"2010";NA;NA;"na"
"V11210";"F";"ITH3";"A";"2009";NA;NA;"na"
"V11210";"F";"ITH3";"A";"2008";NA;NA;"na"
"V11210";"G";"AT32";"A";"2013";8352;NA;NA
"V11210";"G";"AT32";"A";"2012";8049;NA;NA
"V11210";"G";"AT32";"A";"2011";7978;NA;NA
"V11210";"G";"AT32";"A";"2010";7991;NA;NA
"V11210";"G";"AT32";"A";"2009";7880;NA;NA
"V11210";"G";"AT32";"A";"2008";7974;NA;NA
"V11210";"G";"AT33";"A";"2013";10113;NA;NA
"V11210";"G";"AT33";"A";"2012";9863;NA;NA
"V11210";"G";"AT33";"A";"2011";9672;NA;NA
"V11210";"G";"AT33";"A";"2010";9631;NA;NA
"V11210";"G";"AT33";"A";"2009";9415;NA;NA
"V11210";"G";"AT33";"A";"2008";9620;NA;NA
"V11210";"G";"AT34";"A";"2013";4675;NA;NA
"V11210";"G";"AT34";"A";"2012";4518;NA;NA
"V11210";"G";"AT34";"A";"2011";4462;NA;NA
"V11210";"G";"AT34";"A";"2010";4432;NA;NA
"V11210";"G";"AT34";"A";"2009";4333;NA;NA
"V11210";"G";"AT34";"A";"2008";4458;NA;NA
"V11210";"G";"DE2";"A";"2013";NA;NA;"na"
"V11210";"G";"DE2";"A";"2012";NA;NA;"na"
"V11210";"G";"DE2";"A";"2011";NA;NA;"na"
"V11210";"G";"DE2";"A";"2010";NA;NA;"na"
"V11210";"G";"DE2";"A";"2009";NA;NA;"na"
"V11210";"G";"DE2";"A";"2008";NA;NA;"na"
"V11210";"G";"IT";"A";"2013";1157044;NA;NA
"V11210";"G";"IT";"A";"2012";1166475;NA;NA
"V11210";"G";"IT";"A";"2011";1355041;NA;NA
"V11210";"G";"IT";"A";"2010";39359;NA;NA
"V11210";"G";"IT";"A";"2009";1433467;NA;NA
"V11210";"G";"IT";"A";"2008";1412722;NA;NA
"V11210";"G";"ITC4";"A";"2013";171537;NA;NA
"V11210";"G";"ITC4";"A";"2012";172955;NA;NA
"V11210";"G";"ITC4";"A";"2011";200843;NA;NA
"V11210";"G";"ITC4";"A";"2010";203591;NA;NA
"V11210";"G";"ITC4";"A";"2009";204616;NA;NA
"V11210";"G";"ITC4";"A";"2008";203381;NA;NA
"V11210";"G";"ITH";"A";"2013";218601;NA;NA
"V11210";"G";"ITH";"A";"2012";221133;NA;NA
"V11210";"G";"ITH";"A";"2011";255125;NA;NA
"V11210";"G";"ITH";"A";"2010";NA;NA;"na"
"V11210";"G";"ITH";"A";"2009";NA;NA;"na"
"V11210";"G";"ITH";"A";"2008";NA;NA;"na"
"V11210";"G";"ITH1";"A";"2013";8384;NA;NA
"V11210";"G";"ITH1";"A";"2012";8517;NA;NA
"V11210";"G";"ITH1";"A";"2011";10417;NA;NA
"V11210";"G";"ITH1";"A";"2010";NA;NA;"na"
"V11210";"G";"ITH1";"A";"2009";NA;NA;"na"
"V11210";"G";"ITH1";"A";"2008";NA;NA;"na"
"V11210";"G";"ITH2";"A";"2013";8278;NA;NA
"V11210";"G";"ITH2";"A";"2012";8332;NA;NA
"V11210";"G";"ITH2";"A";"2011";9891;NA;NA
"V11210";"G";"ITH2";"A";"2010";NA;NA;"na"
"V11210";"G";"ITH2";"A";"2009";NA;NA;"na"
"V11210";"G";"ITH2";"A";"2008";NA;NA;"na"
